ID,Name_of_Institute,P_or_G,City,Location,Acadmics,Fees,Infrastructure,Placement,Total,Branch
301,Madhav Institute of Technology & Science,G,Gwalior,110.3,100.9,107,136.9,56.6,511.6,MECH
302,Sathyabama University,P,Chennai,99.8,106.3,119,126.7,58.1,509.8,MECH
303,IIT,G,Delhi,212,196.1,163,193.7,174,938.8,CIV
304,IIT Bombay,G,Mumbai,210,188.1,160,199.6,161.7,919.3,CIV
305,IIT,G,Kharagpur,214,192.2,157,196.5,159.3,919,CIV
306,IIT Madras,G,Chennai,208,193.1,156,196.6,159,912.8,CIV
307,IIT,G,Kanpur,208,196.4,154,191,161.5,910.9,CIV
308,BITS,P,Pilani,184,181.6,156.6,184.6,165.7,872.4,CIV
309,IIT*,G,Guwahati,179.1,185.8,145.4,181.2,147.2,838.7,CIV
310,NIT Trichy*,G,Tiruchirapalli,182.1,171.5,148.2,160.3,142,804.1,CIV
311,NIT Surathkal,G,Mangalore,176.9,169.7,134.7,176.2,146.1,803.5,CIV
312,NIT*,G,Warangal,185,158.4,134.5,158.1,128.2,764.2,CIV
313,College Of Engineering_ Guindy,G,Chennai,207.8,162.5,132,131.9,126.6,760.8,CIV
314,NSIT*,G,Delhi,151,154.4,134.9,163.5,154.4,758.2,CIV
315,DTU,G,Delhi,145,163.6,132,140.4,153,733.9,CIV
