ID,Name_of_Institute,P_or_G,City,Location,Acadmics,Fees,Infrastructure,Placement,Total,Branch
413,NIT*,G,Warangal,185,158.4,134.5,158.1,128.2,764.2,ENTC
414,College Of Engineering_ Guindy,G,Chennai,207.8,162.5,132,131.9,126.6,760.8,ENTC
415,NSIT*,G,Delhi,151,154.4,134.9,163.5,154.4,758.2,ENTC
416,DTU,G,Delhi,145,163.6,132,140.4,153,733.9,ENTC
417,College Of Engineering,G,Pune,164.9,150.3,130.4,148.5,139.4,733.6,ENTC
418,IIIT,P,Hyderabad,149,153.8,129.8,155.3,143.8,731.6,ENTC
419,PSG College Of Technology,P,Coimbatore,143.9,147.9,133.4,164.4,125.3,715,ENTC
420,IIIT,G,Allahabad,147.5,152.9,117.6,155.1,139.5,712.6,ENTC
421,MIT,P,Manipal,163,158.5,126.3,148.9,115,711.7,ENTC
422,VIT University,P,Vellore,137,143.8,147,152,131,710.8,ENTC
423,BIT,P,Ranchi,165,151.8,116.2,154.8,116.8,704.6,ENTC
424,Indian School Of Mines,G,Dhanbad,159,178.8,135.7,112.5,116,702.1,ENTC
425,University Institute Of Engg. Chandigarh Univ,P,Chandigarh,142,142.8,137.8,154.7,121.3,698.5,ENTC
426,Thapar University,P,Patiala,142,148.4,130.7,147.5,118.9,687.5,ENTC
427,VNIT,G,Nagpur,145,151.2,109.9,168.5,108.7,683.3,ENTC
428,NIE,G,Mysore,142.4,144.9,125,147.9,107.6,667.7,ENTC
429,BIT Sindri,G,Dhanbad,169,136.6,105.3,147.7,107.4,666,ENTC
430,NIT*,G,Durgapur,162,163.7,106,126.3,102.9,660.9,ENTC
431,SGS Inst Of Tech & Science,G,Indore,145.9,136.5,104.4,157.5,112.6,656.8,ENTC
432,Institute Of Technology_ Nirma Universtiy,P,Ahmedabad,143.7,138.9,108.9,138.1,100.5,630,ENTC
433,University College Of Engineering,G,Hyderabad,112,129.6,113.5,152.5,120.7,628.4,ENTC
434,Chaitanya Bharathi Institute Of Technology,P,Hyderabad,123,118,118,155.8,104.5,619.2,ENTC
